Job Role,Company,Location,Skills,Experience,Salary,Job Type
Data Analyst,TCS,Mumbai,"Python, SQL, Excel, Power BI",1-3 Years,6 LPA,Full Time
Data Scientist,Infosys,Pune,"Python, SQL, Machine Learning, Statistics",2-4 Years,10 LPA,Full Time
Python Developer,Wipro,Bangalore,"Python, Django, Flask, SQL",1-3 Years,7 LPA,Full Time
Business Analyst,Accenture,Mumbai,"Excel, SQL, Power BI, Tableau",2-4 Years,8 LPA,Full Time
Data Engineer,Tech Mahindra,Hyderabad,"Python, SQL, ETL, Spark",2-5 Years,11 LPA,Full Time
Web Developer,Capgemini,Pune,"HTML, CSS, JavaScript, React",1-3 Years,6.5 LPA,Full Time
Machine Learning Engineer,IBM,Bangalore,"Python, Machine Learning, TensorFlow",2-5 Years,12 LPA,Full Time
Cloud Engineer,HCL,Chennai,"AWS, Azure, Docker, Linux",2-5 Years,9 LPA,Full Time
Cybersecurity Analyst,Reliance,Mumbai,"Networking, Linux, Cybersecurity, Python",1-4 Years,8 LPA,Full Time
AI Engineer,Microsoft,Hyderabad,"Python, Deep Learning, NLP, Generative AI",2-5 Years,15 LPA,Full Time
